	0
0	2
1	0
2	0
3	0
4	1
5	0
6	1
7	0
8	0
9	0
10	0
11	0
12	2
13	2
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	1
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	2
37	0
38	0
39	2
40	2
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	2
52	0
53	0
54	0
55	1
56	0
57	2
58	0
59	2
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	1
78	0
79	0
80	1
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	1
103	0
104	0
105	0
106	1
107	0
108	0
109	1
110	0
111	2
112	0
113	2
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	1
124	2
125	2
126	2
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	2
141	0
142	2
143	0
144	2
145	1
146	2
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	2
174	0
175	0
176	2
177	1
178	0
179	1
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	2
199	0
200	0
201	0
202	0
203	0
204	2
205	0
206	0
207	0
208	0
209	0
210	1
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	2
224	0
225	1
226	0
227	0
228	0
229	0
230	0
231	1
232	0
233	0
234	2
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	1
243	2
244	2
245	2
246	0
247	0
248	0
249	0
250	1
251	0
252	2
253	0
254	0
255	0
256	1
257	1
258	2
259	0
260	0
261	1
262	0
263	1
264	2
265	1
266	0
267	0
268	0
269	0
270	0
271	0
272	0
273	0
274	0
275	2
276	1
277	0
278	0
279	0
280	0
281	1
282	1
283	0
284	0
285	0
286	0
287	0
288	0
289	0
290	0
291	0
292	0
293	0
294	0
295	0
296	1
297	0
298	1
299	0
300	0
301	2
302	0
303	0
304	0
305	2
306	0
307	0
308	0
309	1
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	0
322	2
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	1
334	0
335	0
336	1
337	1
338	2
339	0
340	0
341	2
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	1
351	0
352	0
353	0
354	2
355	1
356	0
357	0
358	0
359	0
360	0
361	1
362	0
363	1
364	2
365	0
366	0
367	0
368	1
369	2
370	0
371	0
372	1
373	0
374	4
375	2
376	0
377	0
378	2
379	2
380	0
381	0
382	1
383	2
384	0
385	0
386	0
387	0
388	0
389	0
390	2
391	0
392	0
393	0
394	0
395	1
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	6
404	0
405	2
406	2
407	0
408	2
409	0
410	1
411	0
412	0
413	0
414	2
415	0
416	0
417	0
418	1
419	0
420	0
421	1
422	0
423	0
424	0
425	0
426	0
427	0
428	1
429	0
430	0
431	1
432	1
433	2
434	2
435	1
436	1
437	0
438	0
439	0
440	0
441	0
442	2
443	1
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	2
460	0
461	2
462	0
463	2
464	0
465	0
466	0
467	0
468	0
469	0
470	1
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	1
481	0
482	2
483	0
484	0
485	0
486	0
487	2
488	0
489	1
490	0
491	0
492	0
493	0
494	0
495	1
496	0
497	0
498	1
499	0
500	0
501	2
502	0
503	2
504	1
505	3
506	2
507	0
508	5
509	0
510	2
511	5
512	2
513	2
514	4
515	1
516	0
517	2
518	1
519	2
520	0
521	0
522	6
523	0
524	2
525	0
526	2
527	1
528	4
529	1
530	1
531	0
532	2
533	1
534	2
535	0
536	2
537	1
538	1
539	1
540	2
541	3
542	4
543	5
544	1
545	2
546	1
547	2
548	1
549	0
550	1
551	2
552	2
553	2
554	1
555	1
556	6
557	1
558	1
559	10
560	2
561	0
562	2
563	1
564	5
565	1
566	0
567	1
568	0
569	6
570	2
571	1
572	1
573	2
574	1
575	1
576	3
577	0
578	0
579	1
580	1
581	1
582	6
583	3
584	1
585	2
586	1
587	1
588	2
589	5
590	3
591	0
592	2
593	2
594	4
595	6
596	3
597	0
598	1
599	1
600	1
601	2
602	2
603	0
604	3
605	1
606	2
607	0
608	0
609	0
610	0
611	0
612	4
613	2
614	4
615	0
616	1
617	1
618	1
619	2
620	2
621	2
622	0
623	2
624	3
625	2
626	6
627	2
628	1
629	2
630	3
631	2
632	6
633	1
634	1
635	0
636	0
637	1
638	6
639	2
640	3
641	1
642	2
643	1
644	2
645	4
646	5
647	0
648	2
649	5
650	4
651	1
652	2
653	2
654	2
655	8
656	0
657	1
658	0
659	1
660	0
661	0
662	1
663	2
664	0
665	2
666	1
667	2
668	0
669	1
670	0
671	2
672	2
673	1
674	0
675	0
676	1
677	1
678	2
679	0
680	0
681	1
682	1
683	4
684	2
685	0
686	2
687	0
688	0
689	1
690	2
691	4
692	1
693	5
694	0
695	0
696	5
697	1
698	1
699	3
700	2
701	1
702	2
703	0
704	4
705	1
706	4
707	4
708	2
709	2
710	2
711	1
712	6
713	1
714	0
715	2
716	2
717	1
718	0
719	2
720	1
721	2
722	1
723	5
724	1
725	2
726	8
727	2
728	2
729	1
730	0
731	2
732	2
733	1
734	4
735	0
736	1
737	2
738	0
739	2
740	1
741	0
742	2
743	2
744	4
745	0
746	2
747	2
748	1
749	2
750	2
751	1
752	1
753	1
754	2
755	1
756	1
757	1
758	1
759	0
760	6
761	0
762	4
763	0
764	1
765	6
766	1
767	1
768	2
769	0
770	6
771	2
772	5
773	1
774	1
775	2
776	2
777	3
778	1
779	1
780	6
781	2
782	1
783	1
784	0
785	0
786	1
787	0
788	1
789	0
790	1
791	1
792	2
793	1
794	0
795	2
796	6
797	4
798	3
799	3
800	0
801	1
802	2
803	1
804	1
805	1
806	6
807	1
808	1
809	0
810	4
811	1
812	2
813	0
814	2
815	1
816	1
817	2
818	0
819	2
820	4
821	2
822	0
823	2
824	2
825	1
826	1
827	1
828	2
829	0
830	1
831	6
832	2
833	2
834	0
835	2
836	2
837	0
838	1
839	1
840	1
841	2
842	0
843	2
844	2
845	2
846	4
847	2
848	1
849	5
850	2
851	0
852	4
853	2
854	1
855	4
856	2
857	2
858	4
859	2
860	2
861	2
862	1
863	1
864	4
865	2
866	2
867	2
868	5
869	6
870	1
871	2
872	1
873	0
874	3
875	6
876	1
877	1
878	1
879	1
880	0
881	2
882	2
883	1
884	6
885	0
886	0
887	1
888	4
889	0
890	1
891	6
892	1
893	2
894	1
895	6
896	0
897	0
898	0
899	2
900	2
901	0
902	1
903	3
904	6
905	1
906	2
907	10
908	0
909	0
910	2
911	2
912	2
913	4
914	4
915	1
916	2
917	0
918	2
919	0
920	6
921	2
922	2
923	0
924	5
925	1
926	0
927	1
928	3
929	0
930	5
931	0
932	2
933	2
934	1
935	1
936	5
937	3
938	3
939	1
940	2
941	2
942	2
943	1
944	2
945	1
946	2
947	6
948	0
949	3
950	2
951	0
952	0
953	0
954	2
955	2
956	5
957	2
958	5
959	0
960	3
961	1
962	3
963	5
964	0
965	6
966	1
967	1
968	3
969	1
970	6
971	0
972	1
973	1
974	2
975	3
976	0
977	0
978	5
979	0
980	6
981	0
982	0
983	1
984	1
985	2
986	1
987	1
988	2
989	1
990	1
991	0
992	0
993	2
994	2
995	1
996	1
997	0
998	2
999	1
1000	7
1001	10
1002	2
1003	2
1004	5
1005	3
1006	4
1007	2
1008	5
1009	4
1010	3
1011	2
1012	2
1013	2
1014	8
1015	7
1016	4
1017	7
1018	3
1019	1
1020	3
1021	5
1022	5
1023	6
1024	2
1025	4
1026	0
1027	6
1028	2
1029	6
1030	7
1031	6
1032	6
1033	4
1034	2
1035	5
1036	1
1037	6
1038	6
1039	10
1040	3
1041	4
1042	9
1043	4
1044	2
1045	2
1046	9
1047	3
1048	3
1049	2
1050	3
1051	3
1052	9
1053	6
1054	1
1055	4
1056	5
1057	10
1058	7
1059	1
1060	5
1061	6
1062	4
1063	6
1064	5
1065	4
1066	3
1067	1
1068	5
1069	8
1070	1
1071	4
1072	10
1073	4
1074	4
1075	3
1076	1
1077	1
1078	9
1079	5
1080	5
1081	5
1082	2
1083	5
1084	6
1085	6
1086	8
1087	8
1088	3
1089	4
1090	3
1091	4
1092	4
1093	3
1094	4
1095	4
1096	10
1097	4
1098	4
1099	6
1100	4
1101	2
1102	7
1103	7
1104	5
1105	5
1106	5
1107	3
1108	5
1109	7
1110	4
1111	10
1112	3
1113	1
1114	3
1115	9
1116	2
1117	3
1118	9
1119	6
1120	10
1121	4
1122	10
1123	4
1124	4
1125	2
1126	3
1127	2
1128	6
1129	5
1130	4
1131	5
1132	3
1133	6
1134	6
1135	10
1136	3
1137	3
1138	4
1139	5
1140	5
1141	4
1142	3
1143	4
1144	5
1145	4
1146	2
1147	3
1148	3
1149	6
1150	4
1151	6
1152	6
1153	4
1154	4
1155	1
1156	4
1157	3
1158	7
